variant,trial,sweep,energy
ideal,4,83,-2.0
ideal,4,84,0.0
ideal,4,85,-1.0
ideal,4,86,-1.0
ideal,4,87,-2.0
ideal,4,88,-2.0
ideal,4,89,-2.0
ideal,4,90,-2.0
ideal,4,91,-2.0
ideal,4,92,-2.0
ideal,4,93,-2.0
ideal,4,94,-1.0
ideal,4,95,-1.0
ideal,4,96,0.0
ideal,4,97,-1.0
ideal,4,98,-2.0
ideal,4,99,-2.0
ideal,4,100,-2.0
ideal,4,101,-2.0
ideal,4,102,-1.0
ideal,4,103,-1.0
ideal,4,104,-2.0
ideal,4,105,-2.0
ideal,4,106,-2.0
ideal,4,107,-2.0
ideal,4,108,-2.0
ideal,4,109,-2.0
ideal,4,110,-2.0
ideal,4,111,-2.0
ideal,4,112,-2.0
ideal,4,113,-2.0
ideal,4,114,-2.0
ideal,4,115,-2.0
ideal,4,116,-2.0
ideal,4,117,-2.0
ideal,4,118,0.0
ideal,4,119,-2.0
ideal,4,120,-1.0
ideal,4,121,-1.0
ideal,4,122,-1.0
ideal,4,123,-1.0
ideal,4,124,-2.0
ideal,4,125,-2.0
ideal,4,126,-2.0
ideal,4,127,-2.0
ideal,4,128,-2.0
ideal,4,129,-1.0
ideal,4,130,-1.0
ideal,4,131,-2.0
ideal,4,132,-2.0
ideal,4,133,-2.0
ideal,4,134,-2.0
ideal,4,135,-2.0
ideal,4,136,-2.0
ideal,4,137,-2.0
ideal,4,138,-2.0
ideal,4,139,-2.0
ideal,4,140,-2.0
ideal,4,141,-2.0
ideal,4,142,-2.0
ideal,4,143,-2.0
ideal,4,144,-2.0
ideal,4,145,-2.0
ideal,4,146,-2.0
ideal,4,147,-2.0
ideal,4,148,-2.0
ideal,4,149,-2.0
ideal,4,150,-2.0
ideal,4,151,-2.0
ideal,4,152,-2.0
ideal,4,153,-2.0
ideal,4,154,-2.0
ideal,4,155,-2.0
ideal,4,156,-2.0
ideal,4,157,-2.0
ideal,4,158,-2.0
ideal,4,159,-2.0
ideal,4,160,-2.0
ideal,4,161,-2.0
ideal,4,162,-2.0
ideal,4,163,-2.0
ideal,4,164,-2.0
ideal,4,165,-2.0
ideal,4,166,-2.0
ideal,4,167,-2.0
ideal,4,168,-2.0
ideal,4,169,-2.0
ideal,4,170,-2.0
ideal,4,171,-2.0
ideal,4,172,-2.0
ideal,4,173,-2.0
ideal,4,174,-2.0
ideal,4,175,-2.0
ideal,4,176,-2.0
ideal,4,177,-2.0
ideal,4,178,-2.0
ideal,4,179,-2.0
ideal,4,180,-2.0
ideal,4,181,-2.0
ideal,4,182,-2.0
ideal,4,183,-2.0
ideal,4,184,-2.0
ideal,4,185,-2.0
ideal,4,186,-2.0
ideal,4,187,-2.0
ideal,4,188,-2.0
ideal,4,189,-2.0
ideal,4,190,-2.0
ideal,4,191,-2.0
ideal,4,192,-2.0
ideal,4,193,-2.0
ideal,4,194,-2.0
ideal,4,195,-2.0
ideal,4,196,-2.0
ideal,4,197,-2.0
ideal,4,198,-2.0
ideal,4,199,-2.0
ideal,4,200,-2.0
ideal,5,0,1.0
ideal,5,1,0.0
ideal,5,2,0.0
ideal,5,3,0.0
ideal,5,4,1.0
ideal,5,5,-1.0
ideal,5,6,0.0
ideal,5,7,0.0
ideal,5,8,-2.0
ideal,5,9,1.0
ideal,5,10,-2.0
ideal,5,11,0.0
ideal,5,12,1.0
ideal,5,13,-2.0
ideal,5,14,-2.0
ideal,5,15,-1.0
ideal,5,16,0.0
ideal,5,17,-2.0
ideal,5,18,1.0
ideal,5,19,0.0
ideal,5,20,-2.0
ideal,5,21,1.0
ideal,5,22,-1.0
ideal,5,23,1.0
ideal,5,24,1.0
ideal,5,25,-2.0
ideal,5,26,-1.0
ideal,5,27,0.0
ideal,5,28,-1.0
ideal,5,29,-2.0
ideal,5,30,-2.0
ideal,5,31,0.0
ideal,5,32,-2.0
ideal,5,33,0.0
ideal,5,34,-2.0
ideal,5,35,-1.0
ideal,5,36,0.0
ideal,5,37,1.0
ideal,5,38,-1.0
ideal,5,39,-2.0
ideal,5,40,-2.0
ideal,5,41,-2.0
ideal,5,42,1.0
ideal,5,43,-2.0
ideal,5,44,-2.0
ideal,5,45,-1.0
ideal,5,46,-2.0
ideal,5,47,-2.0
ideal,5,48,1.0
ideal,5,49,0.0
ideal,5,50,0.0
ideal,5,51,-2.0
ideal,5,52,-2.0
ideal,5,53,-1.0
ideal,5,54,0.0
ideal,5,55,1.0
ideal,5,56,-1.0
ideal,5,57,-2.0
ideal,5,58,-1.0
ideal,5,59,-1.0
ideal,5,60,-2.0
ideal,5,61,-2.0
ideal,5,62,0.0
ideal,5,63,0.0
ideal,5,64,-2.0
ideal,5,65,-1.0
ideal,5,66,0.0
ideal,5,67,-1.0
ideal,5,68,-1.0
ideal,5,69,-2.0
ideal,5,70,-2.0
ideal,5,71,-2.0
ideal,5,72,-2.0
ideal,5,73,-2.0
ideal,5,74,-2.0
ideal,5,75,-1.0
ideal,5,76,-1.0
ideal,5,77,-1.0
ideal,5,78,-1.0
ideal,5,79,-2.0
ideal,5,80,-2.0
ideal,5,81,-2.0
ideal,5,82,3.0
ideal,5,83,0.0
ideal,5,84,0.0
